ID,Treatment,Day_Pupation
768,Reintroduced Community,19
769,Reintroduced Community,20
774,Reintroduced Community,15
775,Reintroduced Community,16
776,Reintroduced Community,17
777,Reintroduced Community,17
778,Reintroduced Community,18
779,Reintroduced Community,19
780,Reintroduced Community,20
781,Reintroduced Community,20
782,Reintroduced Community,23
784,Reintroduced Community,15
785,Reintroduced Community,16
786,Reintroduced Community,16
787,Reintroduced Community,16
788,Reintroduced Community,16
789,Reintroduced Community,17
790,Reintroduced Community,19
791,Reintroduced Community,19
792,Reintroduced Community,21
793,Reintroduced Community,21
795,Reintroduced Community,17
796,Reintroduced Community,17
797,Reintroduced Community,18
798,Reintroduced Community,18
799,Reintroduced Community,18
800,Reintroduced Community,20
801,Reintroduced Community,20
802,Reintroduced Community,21
803,Reintroduced Community,24
805,Reintroduced Community,15
806,Reintroduced Community,15
807,Reintroduced Community,15
808,Reintroduced Community,16
809,Reintroduced Community,17
810,Reintroduced Community,20
811,Reintroduced Community,20
812,Reintroduced Community,22
815,Reintroduced Community,15
816,Reintroduced Community,16
817,Reintroduced Community,17
818,Reintroduced Community,18
819,Reintroduced Community,19
823,Reintroduced Community,14
824,Reintroduced Community,14
825,Reintroduced Community,14
826,Reintroduced Community,16
827,Reintroduced Community,17
828,Reintroduced Community,18
829,Reintroduced Community,18
830,Reintroduced Community,20
831,Reintroduced Community,24
832,Reintroduced Community,15
833,Reintroduced Community,16
834,Reintroduced Community,17
835,Reintroduced Community,17
836,Reintroduced Community,17
837,Reintroduced Community,18
838,Reintroduced Community,20
842,Reintroduced Community,15
843,Reintroduced Community,15
844,Reintroduced Community,16
845,Reintroduced Community,16
846,Reintroduced Community,17
847,Reintroduced Community,20
848,Reintroduced Community,22
852,Reintroduced Community,15
853,Reintroduced Community,15
854,Reintroduced Community,15
855,Reintroduced Community,16
856,Reintroduced Community,17
857,Reintroduced Community,21
858,Reintroduced Community,22
861,Reintroduced Community,15
862,Reintroduced Community,15
863,Reintroduced Community,15
864,Reintroduced Community,15
865,Reintroduced Community,16
866,Reintroduced Community,16
867,Reintroduced Community,17
868,Reintroduced Community,18
869,Reintroduced Community,22
871,Reintroduced Community,14
872,Reintroduced Community,14
873,Reintroduced Community,15
874,Reintroduced Community,15
875,Reintroduced Community,15
876,Reintroduced Community,15
877,Reintroduced Community,17
881,Reintroduced Community,15
882,Reintroduced Community,16
883,Reintroduced Community,16
884,Reintroduced Community,20
885,Reintroduced Community,20
889,Reintroduced Community,15
890,Reintroduced Community,15
891,Reintroduced Community,15
892,Reintroduced Community,16
893,Reintroduced Community,16
894,Reintroduced Community,18
895,Reintroduced Community,18
896,Reintroduced Community,19
899,Reintroduced Community,15
900,Reintroduced Community,16
901,Reintroduced Community,16
902,Reintroduced Community,16
903,Reintroduced Community,20
904,Reintroduced Community,20
905,Reintroduced Community,23
908,Reintroduced Community,14
909,Reintroduced Community,15
910,Reintroduced Community,15
911,Reintroduced Community,16
912,Reintroduced Community,17
913,Reintroduced Community,20
